Call_Id,Call_Arrival_Time,Skill_ID,Agent_ID,Agent,Date,Time,Answered_YN,Answered_Time,Call_Departure_Time,Resolved,Speed_of_Answer_Seconds,AvgTalkDuration,Satisfaction_Rating
ID00069,01/17/2024 14:53,Billing,Agent_D,D,01/17/2024,14:53:58,Y,01/17/2024 14:54,01/17/2024 14:57,Y,11,3:03,2
ID00070,1/9/2024 11:53,Billing,Agent_H,H,1/9/2024,11:53:40,Y,1/9/2024 11:53,1/9/2024 11:55,Y,4,1:39,3
ID00071,1/3/2024 12:15,Technical_Support,Agent_B,B,1/3/2024,12:15:17,Y,1/3/2024 12:15,1/3/2024 12:18,Y,30,2:24,3
ID00072,01/23/2024 10:45,Sales,Agent_G,G,01/23/2024,10:45:13,Y,01/23/2024 10:45,01/23/2024 10:48,Y,13,3:13,3
ID00073,1/2/2024 11:53,Technical_Support,Agent_B,B,1/2/2024,11:53:26,N,,,N,,,
ID00074,01/25/2024 17:24,Retention,Agent_G,G,01/25/2024,17:24:30,Y,01/25/2024 17:24,01/25/2024 17:26,Y,4,1:30,3
ID00075,01/29/2024 14:34,Retention,Agent_D,D,01/29/2024,14:34:47,Y,01/29/2024 14:35,01/29/2024 14:38,Y,32,3:31,3
ID00076,01/16/2024 08:24,Technical_Support,Agent_H,H,01/16/2024,8:24:21,Y,01/16/2024 08:24,01/16/2024 08:31,N,11,7:00,3
ID00077,01/30/2024 10:39,Technical_Support,Agent_H,H,01/30/2024,10:39:34,Y,01/30/2024 10:40,01/30/2024 10:42,Y,32,2:25,2
ID00078,1/3/2024 14:08,Technical_Support,Agent_B,B,1/3/2024,14:08:55,Y,1/3/2024 14:08,1/3/2024 14:12,Y,2,3:18,3
ID00079,01/15/2024 13:21,Customer_Service,Agent_E,E,01/15/2024,13:21:48,Y,01/15/2024 13:22,01/15/2024 13:25,N,43,2:32,3
ID00080,1/9/2024 9:30,Retention,Agent_A,A,1/9/2024,9:30:01,N,,,N,,,
ID00081,1/12/2024 11:41,Sales,Agent_A,A,1/12/2024,11:41:04,Y,1/12/2024 11:41,1/12/2024 11:44,N,40,2:29,4
ID00082,1/7/2024 8:39,Customer_Service,Agent_F,F,1/7/2024,8:39:09,Y,1/7/2024 8:39,1/7/2024 8:42,Y,16,2:44,3
ID00083,1/7/2024 15:44,Technical_Support,Agent_C,C,1/7/2024,15:44:16,Y,1/7/2024 15:44,1/7/2024 15:47,N,26,2:52,3
ID00084,01/23/2024 09:49,New_Accounts,Agent_E,E,01/23/2024,9:49:52,Y,01/23/2024 09:49,01/23/2024 09:55,Y,3,5:20,4
ID00085,1/10/2024 17:43,Technical_Support,Agent_G,G,1/10/2024,17:43:58,N,,,N,,,
ID00086,1/7/2024 9:37,Billing,Agent_D,D,1/7/2024,9:37:44,Y,1/7/2024 9:38,1/7/2024 9:42,Y,18,4:43,3
ID00087,01/28/2024 17:51,Sales,Agent_A,A,01/28/2024,17:51:07,Y,01/28/2024 17:51,01/28/2024 17:56,Y,44,4:22,3
ID00088,1/12/2024 9:32,Technical_Support,Agent_H,H,1/12/2024,9:32:41,Y,1/12/2024 9:33,1/12/2024 9:36,Y,43,3:00,2
ID00089,01/31/2024 13:40,Customer_Service,Agent_C,C,01/31/2024,13:40:57,Y,01/31/2024 13:41,01/31/2024 13:44,Y,32,3:14,3
ID00090,01/31/2024 12:39,Customer_Service,Agent_H,H,01/31/2024,12:39:51,Y,01/31/2024 12:40,01/31/2024 12:42,N,29,2:39,3
ID00091,01/19/2024 12:20,New_Accounts,Agent_A,A,01/19/2024,12:20:54,Y,01/19/2024 12:21,01/19/2024 12:23,Y,15,2:32,3
ID00092,01/25/2024 15:36,Customer_Service,Agent_D,D,01/25/2024,15:36:39,Y,01/25/2024 15:37,01/25/2024 15:44,N,23,7:37,3
ID00093,1/6/2024 15:13,Customer_Service,Agent_F,F,1/6/2024,15:13:22,Y,1/6/2024 15:13,1/6/2024 15:15,Y,8,1:51,3
ID00094,01/29/2024 12:35,Customer_Service,Agent_C,C,01/29/2024,12:35:00,Y,01/29/2024 12:35,01/29/2024 12:37,Y,14,2:30,3
ID00095,01/16/2024 16:48,Technical_Support,Agent_H,H,01/16/2024,16:48:15,Y,01/16/2024 16:48,01/16/2024 16:50,Y,30,1:46,2
ID00096,1/10/2024 11:25,Technical_Support,Agent_F,F,1/10/2024,11:25:44,Y,1/10/2024 11:25,1/10/2024 11:27,Y,5,1:46,2
ID00097,01/14/2024 16:21,Sales,Agent_E,E,01/14/2024,16:21:22,Y,01/14/2024 16:21,01/14/2024 16:23,Y,30,1:21,3
ID00098,01/24/2024 11:20,Technical_Support,Agent_C,C,01/24/2024,11:20:07,Y,01/24/2024 11:20,01/24/2024 11:21,Y,17,1:33,2
ID00099,1/9/2024 17:48,Sales,Agent_A,A,1/9/2024,17:48:33,Y,1/9/2024 17:48,1/9/2024 17:50,Y,6,1:44,3
ID00100,1/12/2024 10:19,New_Accounts,Agent_C,C,1/12/2024,10:19:00,Y,1/12/2024 10:19,1/12/2024 10:20,N,31,1:28,3
ID00101,01/18/2024 12:44,Technical_Support,Agent_H,H,01/18/2024,12:44:08,Y,01/18/2024 12:44,01/18/2024 12:50,Y,11,6:10,3
ID00102,1/10/2024 15:30,Technical_Support,Agent_B,B,1/10/2024,15:30:28,Y,1/10/2024 15:30,1/10/2024 15:33,N,4,2:42,3
ID00103,1/4/2024 9:25,Sales,Agent_A,A,1/4/2024,9:25:31,Y,1/4/2024 9:25,1/4/2024 9:27,N,11,1:46,3
ID00104,01/31/2024 12:05,Billing,Agent_H,H,01/31/2024,12:05:15,Y,01/31/2024 12:05,01/31/2024 12:09,Y,10,3:56,3
ID00105,1/8/2024 16:24,Billing,Agent_E,E,1/8/2024,16:24:28,N,,,N,,,
ID00106,01/14/2024 12:36,Billing,Agent_C,C,01/14/2024,12:36:39,N,,,N,,,
ID00107,1/7/2024 11:16,Customer_Service,Agent_C,C,1/7/2024,11:16:42,Y,1/7/2024 11:16,1/7/2024 11:20,Y,15,3:37,3
ID00108,1/1/2024 14:28,Technical_Support,Agent_F,F,1/1/2024,14:28:44,Y,1/1/2024 14:29,1/1/2024 14:30,Y,31,1:36,3
ID00109,1/10/2024 15:04,Customer_Service,Agent_D,D,1/10/2024,15:04:43,Y,1/10/2024 15:04,1/10/2024 15:05,Y,0,0:52,3
ID00110,01/22/2024 11:27,Sales,Agent_B,B,01/22/2024,11:27:07,N,,,N,,,
ID00111,01/27/2024 10:04,Technical_Support,Agent_F,F,01/27/2024,10:04:03,Y,01/27/2024 10:04,01/27/2024 10:06,N,9,2:44,3
ID00112,01/30/2024 12:28,Customer_Service,Agent_D,D,01/30/2024,12:28:07,Y,01/30/2024 12:28,01/30/2024 12:31,N,10,3:37,3
ID00113,01/17/2024 16:31,Customer_Service,Agent_A,A,01/17/2024,16:31:28,N,,,N,,,
ID00114,01/24/2024 13:38,Customer_Service,Agent_C,C,01/24/2024,13:38:16,N,,,N,,,
ID00115,01/27/2024 17:37,Retention,Agent_E,E,01/27/2024,17:37:01,Y,01/27/2024 17:37,01/27/2024 17:39,Y,21,1:47,3
ID00116,1/6/2024 15:33,Technical_Support,Agent_F,F,1/6/2024,15:33:41,Y,1/6/2024 15:33,1/6/2024 15:37,Y,14,3:15,3
ID00117,01/21/2024 15:05,Sales,Agent_E,E,01/21/2024,15:05:30,Y,01/21/2024 15:05,01/21/2024 15:07,Y,22,2:02,4
ID00118,1/6/2024 13:26,Customer_Service,Agent_F,F,1/6/2024,13:26:44,Y,1/6/2024 13:26,1/6/2024 13:27,Y,12,0:31,3
ID00119,01/15/2024 09:20,Customer_Service,Agent_F,F,01/15/2024,9:20:16,N,,,N,,,
ID00120,01/27/2024 08:42,New_Accounts,Agent_G,G,01/27/2024,8:42:55,Y,01/27/2024 08:42,01/27/2024 08:45,Y,3,2:41,4
ID00121,01/20/2024 15:40,Technical_Support,Agent_D,D,01/20/2024,15:40:28,Y,01/20/2024 15:40,01/20/2024 15:43,Y,17,2:56,3
ID00122,1/10/2024 15:56,Sales,Agent_A,A,1/10/2024,15:56:44,N,,,N,,,
ID00123,01/20/2024 11:45,Billing,Agent_C,C,01/20/2024,11:45:10,Y,01/20/2024 11:45,01/20/2024 11:53,Y,26,8:21,3
ID00124,01/27/2024 09:29,Customer_Service,Agent_C,C,01/27/2024,9:29:07,Y,01/27/2024 09:29,01/27/2024 09:32,Y,7,2:47,3
ID00125,01/17/2024 12:26,Billing,Agent_H,H,01/17/2024,12:26:53,Y,01/17/2024 12:27,01/17/2024 12:29,Y,33,1:55,3
ID00126,01/13/2024 11:58,Billing,Agent_D,D,01/13/2024,11:58:38,N,,,N,,,
ID00127,1/9/2024 14:21,Sales,Agent_E,E,1/9/2024,14:21:59,Y,1/9/2024 14:22,1/9/2024 14:26,Y,6,4:34,4
ID00128,1/10/2024 17:37,New_Accounts,Agent_D,D,1/10/2024,17:37:42,Y,1/10/2024 17:37,1/10/2024 17:40,Y,3,3:09,3
ID00129,1/11/2024 16:48,Customer_Service,Agent_D,D,1/11/2024,16:48:34,N,,,N,,,
ID00130,01/23/2024 11:36,Technical_Support,Agent_H,H,01/23/2024,11:36:24,Y,01/23/2024 11:36,01/23/2024 11:40,Y,29,3:09,2
ID00131,01/23/2024 14:24,Technical_Support,Agent_C,C,01/23/2024,14:24:42,Y,01/23/2024 14:25,01/23/2024 14:29,Y,18,4:02,2
ID00132,01/17/2024 17:21,Technical_Support,Agent_H,H,01/17/2024,17:21:55,Y,01/17/2024 17:22,01/17/2024 17:28,N,23,6:12,2
ID00133,1/1/2024 10:26,Retention,Agent_E,E,1/1/2024,10:26:55,Y,1/1/2024 10:27,1/1/2024 10:29,Y,6,2:27,3
ID00134,1/9/2024 13:39,Technical_Support,Agent_B,B,1/9/2024,13:39:44,N,,,N,,,
ID00135,01/28/2024 16:24,Customer_Service,Agent_F,F,01/28/2024,16:24:20,N,,,N,,,
ID00136,1/2/2024 17:04,Sales,Agent_E,E,1/2/2024,17:04:15,N,,,N,,,
ID00137,01/24/2024 09:27,Customer_Service,Agent_B,B,01/24/2024,9:27:06,Y,01/24/2024 09:27,01/24/2024 09:31,Y,35,4:18,2
ID00138,01/29/2024 08:02,Customer_Service,Agent_E,E,01/29/2024,8:02:20,Y,01/29/2024 08:02,01/29/2024 08:04,Y,39,1:32,3
ID00139,1/8/2024 16:26,Sales,Agent_B,B,1/8/2024,16:26:36,Y,1/8/2024 16:26,1/8/2024 16:31,Y,14,4:12,3
ID00140,01/28/2024 14:39,Technical_Support,Agent_C,C,01/28/2024,14:39:43,Y,01/28/2024 14:39,01/28/2024 14:43,Y,6,3:36,2
ID00141,01/15/2024 12:42,Retention,Agent_H,H,01/15/2024,12:42:00,N,,,N,,,
ID00142,01/22/2024 16:10,Technical_Support,Agent_F,F,01/22/2024,16:10:04,N,,,N,,,
ID00143,1/10/2024 14:44,Technical_Support,Agent_F,F,1/10/2024,14:44:16,Y,1/10/2024 14:44,1/10/2024 14:46,Y,14,1:34,3
ID00144,01/16/2024 09:15,Customer_Service,Agent_D,D,01/16/2024,9:15:24,N,,,N,,,
ID00145,1/10/2024 8:53,Customer_Service,Agent_A,A,1/10/2024,8:53:42,Y,1/10/2024 8:53,1/10/2024 8:55,Y,16,1:52,3
ID00146,01/24/2024 08:58,Technical_Support,Agent_E,E,01/24/2024,8:58:38,Y,01/24/2024 08:59,01/24/2024 09:04,Y,44,5:15,2
ID00147,01/26/2024 13:14,Customer_Service,Agent_D,D,01/26/2024,13:14:40,Y,01/26/2024 13:14,01/26/2024 13:16,Y,4,1:35,3
ID00148,01/22/2024 10:40,Sales,Agent_A,A,01/22/2024,10:40:06,Y,01/22/2024 10:40,01/22/2024 10:44,Y,39,4:01,3
ID00149,01/19/2024 13:46,Sales,Agent_E,E,01/19/2024,13:46:08,Y,01/19/2024 13:46,01/19/2024 13:49,Y,10,3:32,3
ID00150,1/7/2024 10:50,New_Accounts,Agent_F,F,1/7/2024,10:50:34,Y,1/7/2024 10:50,1/7/2024 10:52,N,12,2:07,4
ID00151,01/27/2024 10:16,Customer_Service,Agent_H,H,01/27/2024,10:16:58,N,,,N,,,
ID00152,1/10/2024 13:51,Customer_Service,Agent_A,A,1/10/2024,13:51:07,Y,1/10/2024 13:51,1/10/2024 13:57,N,3,6:42,3
ID00153,01/28/2024 14:54,Customer_Service,Agent_A,A,01/28/2024,14:54:51,Y,01/28/2024 14:54,01/28/2024 14:59,Y,8,4:06,3
ID00154,01/18/2024 09:29,Technical_Support,Agent_F,F,01/18/2024,9:29:23,Y,01/18/2024 09:29,01/18/2024 09:34,N,10,4:35,3
ID00155,01/31/2024 13:06,Customer_Service,Agent_A,A,01/31/2024,13:06:43,Y,01/31/2024 13:07,01/31/2024 13:11,N,62,3:55,3
ID00156,1/11/2024 17:14,Customer_Service,Agent_F,F,1/11/2024,17:14:41,N,,,N,,,
ID00157,1/10/2024 14:07,Sales,Agent_A,A,1/10/2024,14:07:08,Y,1/10/2024 14:07,1/10/2024 14:10,Y,18,2:59,3
ID00158,1/4/2024 11:56,Technical_Support,Agent_H,H,1/4/2024,11:56:34,Y,1/4/2024 11:57,1/4/2024 12:00,N,33,3:30,3
ID00159,01/23/2024 16:26,Technical_Support,Agent_C,C,01/23/2024,16:26:37,N,,,N,,,
ID00160,01/21/2024 09:53,New_Accounts,Agent_E,E,01/21/2024,9:53:31,Y,01/21/2024 09:54,01/21/2024 09:56,Y,32,2:25,4
ID00161,01/15/2024 15:15,Technical_Support,Agent_F,F,01/15/2024,15:15:54,Y,01/15/2024 15:16,01/15/2024 15:19,N,12,3:00,2
ID00162,1/12/2024 8:25,Customer_Service,Agent_A,A,1/12/2024,8:25:17,N,,,N,,,
ID00163,01/27/2024 15:05,New_Accounts,Agent_A,A,01/27/2024,15:05:42,Y,01/27/2024 15:05,01/27/2024 15:07,Y,8,1:23,4
ID00164,1/5/2024 17:13,Retention,Agent_D,D,1/5/2024,17:13:04,Y,1/5/2024 17:13,1/5/2024 17:17,N,7,3:58,3
ID00165,1/8/2024 13:49,Technical_Support,Agent_A,A,1/8/2024,13:49:09,Y,1/8/2024 13:49,1/8/2024 13:54,N,18,5:01,3
ID00166,1/5/2024 16:16,Sales,Agent_A,A,1/5/2024,16:16:51,Y,1/5/2024 16:17,1/5/2024 16:23,Y,16,6:43,4
ID00167,01/26/2024 11:37,Billing,Agent_F,F,01/26/2024,11:37:20,Y,01/26/2024 11:37,01/26/2024 11:41,Y,10,3:48,2
ID00168,01/17/2024 09:47,Sales,Agent_E,E,01/17/2024,9:47:04,Y,01/17/2024 09:47,01/17/2024 09:51,Y,15,3:48,4
ID00169,01/17/2024 11:39,Billing,Agent_E,E,01/17/2024,11:39:02,Y,01/17/2024 11:39,01/17/2024 11:43,N,25,4:16,3
ID00170,1/2/2024 15:54,Technical_Support,Agent_B,B,1/2/2024,15:54:25,Y,1/2/2024 15:54,1/2/2024 15:57,N,22,3:01,2
ID00171,1/3/2024 9:20,Retention,Agent_E,E,1/3/2024,9:20:38,Y,1/3/2024 9:21,1/3/2024 9:23,Y,34,2:36,3
ID00172,01/18/2024 13:24,Billing,Agent_H,H,01/18/2024,13:24:38,Y,01/18/2024 13:25,01/18/2024 13:27,Y,31,1:54,3
ID00173,01/26/2024 09:54,Sales,Agent_B,B,01/26/2024,9:54:41,Y,01/26/2024 09:54,01/26/2024 10:00,N,12,5:17,3
ID00174,01/14/2024 13:52,Customer_Service,Agent_A,A,01/14/2024,13:52:29,Y,01/14/2024 13:53,01/14/2024 13:56,Y,43,3:00,3
ID00175,1/9/2024 13:09,Customer_Service,Agent_B,B,1/9/2024,13:09:43,Y,1/9/2024 13:10,1/9/2024 13:13,Y,30,2:48,3
ID00176,01/14/2024 09:47,Billing,Agent_D,D,01/14/2024,9:47:47,Y,01/14/2024 09:47,01/14/2024 09:53,Y,10,5:41,2
ID00177,01/18/2024 16:21,Customer_Service,Agent_D,D,01/18/2024,16:21:42,N,,,N,,,
ID00178,01/31/2024 14:55,New_Accounts,Agent_E,E,01/31/2024,14:55:58,Y,01/31/2024 14:56,01/31/2024 14:58,Y,43,2:12,3
ID00179,01/19/2024 16:13,Customer_Service,Agent_C,C,01/19/2024,16:13:09,Y,01/19/2024 16:13,01/19/2024 16:14,Y,2,1:08,3
ID00180,01/18/2024 13:07,Billing,Agent_D,D,01/18/2024,13:07:48,Y,01/18/2024 13:07,01/18/2024 13:16,N,8,8:29,2
ID00181,01/25/2024 17:39,Retention,Agent_B,B,01/25/2024,17:39:43,Y,01/25/2024 17:40,01/25/2024 17:46,Y,36,6:17,3
ID00182,01/23/2024 12:01,Customer_Service,Agent_D,D,01/23/2024,12:01:11,N,,,N,,,
ID00183,1/12/2024 8:11,Billing,Agent_H,H,1/12/2024,8:11:55,Y,1/12/2024 8:12,1/12/2024 8:17,Y,10,5:43,3
ID00184,1/1/2024 9:47,Sales,Agent_G,G,1/1/2024,9:47:33,Y,1/1/2024 9:47,1/1/2024 9:51,Y,10,3:50,4
ID00185,1/10/2024 13:49,Sales,Agent_A,A,1/10/2024,13:49:36,Y,1/10/2024 13:50,1/10/2024 13:52,Y,52,1:47,3
